1,1,2023-07-29,SE,32.62,29.36,23.78
1,2,2023-07-29,SE,29.39,29.39,23.81
1,3,2023-07-29,SE,27.94,26.54,21.5
2,1,2023-07-02,SE,26.46,25.14,20.36
2,2,2023-07-02,SE,32.25,32.25,26.12
3,1,2023-06-12,ES,41.12,32.9,26.65
4,1,2023-06-09,DE,27.94,26.54,21.5
4,2,2023-06-09,DE,20.38,18.34,14.86
4,3,2023-06-09,DE,22.57,20.31,16.45
5,1,2023-06-13,AT,47.7,47.7,38.64
5,2,2023-06-13,AT,21.27,21.27,17.23
6,1,2023-07-12,CH,35.7,33.91,27.47
7,1,2023-08-12,CH,37.81,37.81,30.63
7,2,null,CH,37.98,36.08,29.22
7,3,2023-08-12,CH,21.23,21.23,17.2
8,1,2023-08-27,FR,44.41,44.41,35.97
8,2,2023-08-27,FR,25.98,12.99,10.52
8,3,2023-08-27,FR,24.33,21.9,17.74
9,1,2023-06-21,IT,31.55,31.55,25.56
9,2,2023-06-21,IT,37.25,37.25,30.17
10,1,2023-06-19,FI,20.35,20.35,16.48
10,2,2023-06-19,FI,39.7,35.73,28.94
10,3,2023-06-19,FI,16.29,8.14,6.59
11,1,2023-08-07,ES,39.24,39.24,31.78
11,2,2023-08-07,ES,28.26,26.85,21.75
12,1,2023-07-30,CH,42.94,40.79,33.04
12,2,2023-07-30,CH,8.1,7.69,6.23
12,3,2023-07-30,CH,42.33,42.33,34.29
12,4,2023-07-30,CH,45.11,42.85,34.71
12,5,null,CH,32.25,25.8,20.9
13,1,2023-08-13,DE,41.48,33.18,26.88
14,1,2023-06-23,DK,28.26,25.43,20.6
15,1,2023-06-06,CH,46.24,41.62,33.71
15,2,2023-06-06,CH,24.63,12.31,9.97
15,3,2023-06-06,CH,23.55,21.2,17.17
15,4,2023-06-06,CH,37.25,37.25,30.17
16,1,2023-08-25,DK,48.74,43.87,35.53
16,2,2023-08-25,DK,20.38,16.3,13.2
16,3,2023-08-25,DK,25.98,23.38,18.94
16,4,2023-08-25,DK,28.2,28.2,22.84
16,5,2023-08-25,DK,12.86,12.86,10.42
17,1,2023-08-12,BE,8.61,6.89,5.58
17,2,2023-08-12,BE,33.82,30.44,24.66
18,1,2023-06-24,CH,22.67,21.54,17.45
18,2,null,CH,46.05,36.84,29.84
18,3,2023-06-24,CH,14.89,14.15,11.46
18,4,2023-06-24,CH,23.55,21.2,17.17
19,1,2023-08-31,FR,41.22,41.22,33.39
19,2,2023-08-31,FR,17.63,15.87,12.85
20,1,2023-06-25,CH,35.7,35.7,28.92
21,1,2023-06-01,NO,8.1,7.69,6.23
22,1,2023-06-23,IT,15.62,15.62,12.65
22,2,2023-06-23,IT,29.39,27.92,22.62
23,1,2023-07-17,EN,48.74,43.87,35.53
23,2,2023-07-17,EN,28.43,28.43,23.03
24,1,2023-08-11,DK,15.62,15.62,12.65
25,1,2023-06-02,CH,32.58,26.06,21.11
26,1,2023-06-15,NL,15.5,12.4,10.04
26,2,2023-06-15,NL,22.67,22.67,18.36
