11,37,2023-07-29,NORD_SE,29.36
12,95,2023-07-29,NORD_SE,29.39
13,32,2023-07-29,NORD_SE,26.54
21,81,2023-07-02,NORD_SE,25.14
22,57,2023-07-02,NORD_SE,32.25
31,65,2023-06-12,MED_ES,32.9
41,32,2023-06-09,DACH_DE,26.54
42,6,2023-06-09,DACH_DE,18.34
43,23,2023-06-09,DACH_DE,20.31
51,12,2023-06-13,DACH_AT,47.7
52,31,2023-06-13,DACH_AT,21.27
61,42,2023-07-12,DACH_CH,33.91
71,90,2023-08-12,DACH_CH,37.81
72,58,null,DACH_CH,36.08
73,5,2023-08-12,DACH_CH,21.23
81,60,2023-08-27,MED_FR,44.41
82,69,2023-08-27,MED_FR,12.99
83,62,2023-08-27,MED_FR,21.9
91,74,2023-06-21,MED_IT,31.55
92,80,2023-06-21,MED_IT,37.25
101,55,2023-06-19,NORD_FI,20.35
102,25,2023-06-19,NORD_FI,35.73
103,16,2023-06-19,NORD_FI,8.14
111,3,2023-08-07,MED_ES,39.24
112,44,2023-08-07,MED_ES,26.85
121,76,2023-07-30,DACH_CH,40.79
122,0,2023-07-30,DACH_CH,7.69
123,66,2023-07-30,DACH_CH,42.33
124,59,2023-07-30,DACH_CH,42.85
125,57,null,DACH_CH,25.8
131,89,2023-08-13,DACH_DE,33.18
141,44,2023-06-23,NORD_DK,25.43
151,27,2023-06-06,DACH_CH,41.62
152,83,2023-06-06,DACH_CH,12.31
153,29,2023-06-06,DACH_CH,21.2
154,80,2023-06-06,DACH_CH,37.25
161,61,2023-08-25,NORD_DK,43.87
162,6,2023-08-25,NORD_DK,16.3
163,69,2023-08-25,NORD_DK,23.38
164,48,2023-08-25,NORD_DK,28.2
165,34,2023-08-25,NORD_DK,12.86
171,1,2023-08-12,BNL_BE,6.89
172,87,2023-08-12,BNL_BE,30.44
181,43,2023-06-24,DACH_CH,21.54
182,50,null,DACH_CH,36.84
183,96,2023-06-24,DACH_CH,14.15
184,29,2023-06-24,DACH_CH,21.2
191,82,2023-08-31,MED_FR,41.22
192,45,2023-08-31,MED_FR,15.87
201,42,2023-06-25,DACH_CH,35.7
211,0,2023-06-01,NORD_NO,7.69
221,86,2023-06-23,MED_IT,15.62
222,95,2023-06-23,MED_IT,27.92
231,61,2023-07-17,UK_EN,43.87
232,8,2023-07-17,UK_EN,28.43
241,86,2023-08-11,NORD_DK,15.62
251,17,2023-06-02,DACH_CH,26.06
261,54,2023-06-15,BNL_NL,12.4
262,43,2023-06-15,BNL_NL,22.67
271,84,2023-08-19,NORD_NO,8.52
272,61,null,NORD_NO,43.87
273,32,2023-08-19,NORD_NO,27.94
274,97,2023-08-19,NORD_NO,6.84
281,72,null,DACH_AT,34.03
282,39,2023-08-05,DACH_AT,22.41
291,68,2023-06-01,BNL_NL,32.56
301,87,2023-08-20,DACH_CH,33.82
302,26,2023-08-20,DACH_CH,31.3
311,41,2023-06-27,DACH_CH,33.28
312,7,null,DACH_CH,41.75
321,87,null,NORD_SE,33.82
